ID,LOCATION,FINAL_LON,FINAL_LAT
774,AB-08-335,-76.13943949,-0.625363
775,AB-08-342,-76.16314012,-0.633239675
777,AB-08-346,-76.16114577,-0.6292069
779,AB-08-347,-76.16333079,-0.632438026
780,AB-08-352,-76.16312145,-0.631314812
782,AB-08-355,-76.13948576,-0.6254418
783,AB-08-358,-76.15610548,-0.6297439
787,AB-08-360,-76.1556723,-0.637179474
788,AB-08-531,-76.1632626,-0.630863052
789,AB-08-532,-76.1601355,-0.6308175
792,AB-09-001,-76.15392996,-0.6329717
793,AB-09-002,-76.16276014,-0.625982704
794,AB-09-003,-76.16155305,-0.6156236
795,AB-09-004,-76.16421707,-0.6161923
796,AB-09-005,-76.15900286,-0.6261526
797,AB-09-007,-76.16025478,-0.6262206
798,AB-09-010,-76.15943553,-0.6332474
799,AB-09-011,-76.15508339,-0.6324211
800,AB-09-012,-76.1551285,-0.634754963
801,AB-09-015,-76.16379504,-0.6287675
802,AB-09-017,-76.15826101,-0.627052878
803,AB-09-021,-76.12713084,-0.6274326
804,AB-09-022,-76.12761045,-0.6304866
805,AB-09-023,-76.15580063,-0.6334435
806,AB-09-024,-76.15744206,-0.6362508
807,AB-09-026,-76.15734106,-0.6363996
808,AB-09-027,-76.15625929,-0.6335202
809,AB-09-028,-76.15113307,-0.635770761
810,AB-09-029,-76.16396905,-0.6293305
811,AB-09-031,-76.15137583,-0.6324936
812,AB-09-032,-76.12768614,-0.6181085
816,AB-09-035,-76.15568681,-0.6365835
817,AB-09-039,-76.15774364,-0.6353735
818,AB-09-040,-76.15580357,-0.631868
819,AB-09-041,-76.15522755,-0.633292382
820,AB-09-043,-76.12490603,-0.6253986
821,AB-09-044,-76.12534767,-0.6252144
822,AB-09-045,-76.13225939,-0.625768
823,AB-09-046,-76.13076607,-0.6243147
824,AB-09-047,-76.15949429,-0.6286311
825,AB-09-050,-76.16142568,-0.629121043
826,AB-09-053,-76.15706027,-0.6328116
827,AB-09-055,-76.16496616,-0.6295073
828,AB-09-059,-76.16533245,-0.6289678
829,AB-09-060,-76.15355194,-0.6329398
830,AB-09-063,-76.15899975,-0.6366005
831,AB-09-065,-76.15703529,-0.6285423
832,AB-09-066,-76.16167333,-0.628588
833,AB-09-067,-76.13235167,-0.6295946
834,AB-09-068,-76.13345431,-0.6283363
835,AB-09-069,-76.13246625,-0.6270872
836,AB-09-070,-76.15631595,-0.6352183
837,AB-09-071,-76.1520027,-0.635436788
838,AB-09-072,-76.16065495,-0.632940018
839,AB-09-073,-76.1602918,-0.633108706
840,AB-09-075,-76.16358491,-0.6320186
841,AB-09-079,-76.15426331,-0.6330395
842,AB-09-082,-76.1603572,-0.6279894
843,AB-09-083,-76.15045742,-0.6349268
844,AB-09-085,-76.15031669,-0.6346988
845,AB-09-087,-76.15545153,-0.6335032
847,AB-09-088,-76.14741127,-0.6364428
848,AB-09-090,-76.15535597,-0.63393
849,AB-09-092,-76.15354029,-0.6365119
850,AB-09-093,-76.16569572,-0.630896
852,AB-09-094,-76.1552087,-0.6327115
853,AB-09-096,-76.15839374,-0.6277558
854,AB-09-100,-76.15486102,-0.6344377
855,AB-09-101,-76.1558749,-0.6369383
856,AB-09-102,-76.15583324,-0.6369838
857,AB-09-103,-76.15727484,-0.6363036
858,AB-09-105,-76.15376366,-0.6331653
859,AB-09-107,-76.15566149,-0.6295983
860,AB-09-108,-76.15717971,-0.6308813
861,AB-09-109,-76.15950686,-0.6314556
862,AB-09-110,-76.16083053,-0.6302125
863,AB-09-111,-76.16365397,-0.6304718
864,AB-09-112,-76.15552085,-0.6369281
865,AB-09-113,-76.15603616,-0.6285018
866,AB-10-002,-76.15937359,-0.6263062
867,AB-10-003,-76.15931584,-0.6291712
869,AB-10-006,-76.13767317,-0.6343077
870,AB-10-007,-76.15647177,-0.6280159
871,AB-10-008,-76.15700922,-0.6274138
872,AB-10-009,-76.16146797,-0.6282556
873,AB-10-011,-76.14856848,-0.6346931
