Species,Clade,brain_weight,body_weight,diet,percent_fruit,social_system,mating_system,group_size,Locomotion,Main1,mean_Male_Galan,mean_Female_Galan,Superfamily,Family,Genus
Colobus_satanas,Colobinae,80.2,10750,Folivore,4,Polygyndry,Polygyndry,14.33333333,AR,FFMM,10.4,7.42,Cercopithecoidea,Cercopithecidae,Colobus
Procolobus_verus,Colobinae,54.52871124,4025,Folivore,9,Polygyndry,Polygyndry,8,AR,MFF,4.7,4.2,Cercopithecoidea,Cercopithecidae,Procolobus
Daubentonia_madagascariensis,Lemuriformes,46.34472526,2603.123333,Omnivore,0,Solitary,Spatial Polygyny,1.75,AR,solitary,2.62,2.49,Lemuroidea,Daubentoniidae,Daubentonia
Erythrocebus_patas,Cercopithecini,97.87219042,7858.15,Omnivore,75,Polygyny,Harem Polygyny,26.52,T,MFF,12.4,6.5,Cercopithecoidea,Cercopithecidae,Erythrocebus
Eulemur_coronatus,Lemuriformes,21.39439752,2099.925,Frugivore/Folivore,,Polygyndry,Polygyndry,6.95,,,,,Lemuroidea,Lemuriformes,Eulemur
Eulemur_fulvus_fulvus,Lemuriformes,24.78624892,2332.33,Frugivore/Folivore,46,Polygyndry,Polygyndry,10.08,,,,,Lemuroidea,Lemuriformes,Eulemur
Eulemur_macaco_macaco,Lemuriformes,24.63420724,2336.81,Frugivore/Folivore,,Polygyndry,Polygyndry,8.966666667,,,,,Lemuroidea,Lemuriformes,Eulemur
Eulemur_mongoz,Lemuriformes,21.45154487,1810.376667,Frugivore/Folivore,18,Pair,Monogamy,2.7,AR,MF,1.41,1.56,Lemuroidea,Lemuridae,Eulemur
Eulemur_rubriventer,Lemuriformes,26.92409915,1726.8,Frugivore/Folivore,,Pair,Monogamy,3.1,AR,MF,2.067,1.96,Lemuroidea,Lemuridae,Eulemur
Euoticus_elegantulus,Galagonidae,5.733931588,303.4933333,Omnivore,5,Solitary,Spatial Polygyny,2.5,,,,,Lorisoidea,Galagonidae,Euoticus
Galago_alleni,Galagonidae,6.1,250,Omnivore,73,Solitary,Spatial Polygyny,1.75,,,,,Lorisoidea,Galagonidae,Galago
Galago_moholi,Galagonidae,3.83863657,183.48,Omnivore,,Solitary,Spatial Polygyny,2,,,,,Lorisoidea,Galagonidae,Galago
Galago_senegalensis,Galagonidae,4.129689917,210.4111111,Omnivore,0,Solitary,Spatial Polygyny,1,,,,,Lorisoidea,Galagonidae,Galago
Galagoides_demidoff,Galagonidae,3.38,62.23555556,Omnivore,19,Solitary,Spatial Polygyny,2.25,,,,,Lorisoidea,Galagonidae,Galagoides
Galagoides_zanzibaricus,Galagonidae,3.64118517,147.35,Omnivore,,Solitary,Spatial Polygyny,3.5,AR,MF,0.15,0.137,Lorisoidea,Galagidae,Galagoides
Gorilla_beringei,Hominoidea,508.9591388,136212.595,Folivore,,Polygyny,Harem Polygyny,13,BOTH,FFMM,162.5,97.5,Hominoidea,Hominidae,Gorilla
Gorilla_gorilla_gorilla,Hominoidea,507.2466269,121326.9967,Folivore,67,Polygyny,Harem Polygyny,10.04705882,,,,,Hominoidea,Hominoidea,Gorilla
Hapalemur_griseus,Lemuriformes,14.6002444,1021.333333,Folivore,,Pair,Monogamy,3.55,AR,MFF,0.8675,0.7865,Lemuroidea,Lemuridae,Hapalemur
Hylobates_agilis,Hominoidea,90.647625,5251.36,Frugivore/Folivore,61,Pair,Monogamy,3.95,AR,MF,5.71,6.3,Hominoidea,Hylobatidae,Hylobates
Hylobates_klossii,Hominoidea,92.04337338,5861.145,Omnivore,72,Pair,Monogamy,3.6,AR,MF,5.67,5.92,Hominoidea,Hylobatidae,Hylobates
Hylobates_lar,Hominoidea,105.276397,5462.87,Frugivore,60,Pair,Monogamy,3.514285714,AR,MF,5.92,5.36,Hominoidea,Hylobatidae,Hylobates
Hylobates_moloch,Hominoidea,106.708,6034.405,Frugivore/Folivore,61,Pair,Monogamy,3.5,AR,MF,6.58,6.25,Hominoidea,Hylobatidae,Hylobates
Hylobates_muelleri,Hominoidea,90.8927958,5837.405,Frugivore/Folivore,,Pair,Monogamy,3.45,AR,MF,5.63,5.37,Hominoidea,Hylobatidae,Hylobates
Hylobates_pileatus,Hominoidea,87.73385185,5638.685,Frugivore/Folivore,79.4,Pair,Monogamy,3.85,AR,MF,5.5,5.44,Hominoidea,Hylobatidae,Hylobates
Indri_indri,Lemuriformes,36.30860992,10500,Folivore,33,Pair,Monogamy,3.28,AR,MF,5.83,6.84,Lemuroidea,Indriidae,Indri
Lagothrix_lagotricha,Atelidae,99.68833333,7647.896667,Omnivore,65.7,Polygyndry,Polygyndry,20.30909091, ,FFMM,NA,6,Ceboidea,Atelidae,Lagothrix
Lemur_catta,Lemuriformes,23.24557974,2380.493333,Frugivore,54,Polygyndry,Polygyndry,15.75,BOTH,FFMM,2.21,2.21,Lemuroidea,Lemuridae,Lemur
Leontopithecus_chrysomelas,Cebidae,12.2618585,613.65,Omnivore,,Pair,Monogamy,6.7,,,,,Ceboidea,Cebidae,Leontopithecus
Leontopithecus_rosalia,Cebidae,13.11586768,623.51,Omnivore,84,Pair,Monogamy,5.4,AR,MF,0.62,0.598,Ceboidea,Cebidae,Leontopithecus
Lepilemur_mustelinus,Lemuriformes,9.90406676,625,Folivore,6,Solitary,Spatial Polygyny,1.5,AR,solitary,NA,NA,Lemuroidea,Lepilemuridae,Lepilemur
Lepilemur_ruficaudatus,Lemuriformes,8.4434,750,Folivore,,Solitary,Spatial Polygyny,,AR,MF,0.729,0.7185,Lemuroidea,Lepilemuridae,Lepilemur
Lophocebus_albigena,Papionini,97.48909348,7932.236667,Frugivore,,Polygyndry,Polygyndry,15.68095238,AR,FFMM,7.89,6.01,Cercopithecoidea,Cercopithecidae,Lophocebus
Lophocebus_aterrimus,Papionini,108.9050072,6655.185,Frugivore,,Polygyndry,Polygyndry,9.5,,,,,Cercopithecoidea,Papionini,Lophocebus
Loris_tardigradus,Loridae,6.05152171,269.8066667,Omnivore,15,Solitary,Spatial Polygyny,2,,,,,Lorisoidea,Loridae,Loris
Macaca_arctoides,Papionini,101.0578766,7877.68,Frugivore,,Polygyndry,Polygyndry,13.75,BOTH,FFMM,12.2,8.4,Cercopithecoidea,Cercopithecidae,Macaca
Macaca_fascicularis,Papionini,66.52984081,4644.106667,Frugivore,66.9,Polygyndry,Polygyndry,27.52142857,BOTH,FFMM,4.85,3.22,Cercopithecoidea,Cercopithecidae,Macaca
Macaca_fuscata,Papionini,98.59266667,9498.88,Frugivore/Folivore,44,Polygyndry,Polygyndry,64.65,BOTH,FFMM,10.97,8.03,Cercopithecoidea,Cercopithecidae,Macaca
Macaca_mulatta,Papionini,88.94143559,6471.73,Frugivore,63,Polygyndry,Polygyndry,36.3625,BOTH,FFMM,6.99,4.94,Cercopithecoidea,Cercopithecidae,Macaca
Macaca_nemestrina,Papionini,109.8711434,7244.593333,Frugivore,75,Polygyndry,Polygyndry,31.56,BOTH,FFMM,11.2,6.59,Cercopithecoidea,Cercopithecidae,Macaca
Macaca_nigra,Papionini,91.456,7662.195,Frugivore,,Polygyndry,Polygyndry,47,T,FFMM,9.89,5.47,Cercopithecoidea,Cercopithecidae,Macaca
Macaca_radiata,Papionini,79.46647349,5877.495,Frugivore,53,Polygyndry,Polygyndry,28.86,BOTH,FFMM,6.6,3.69,Cercopithecoidea,Cercopithecidae,Macaca
Macaca_silenus,Papionini,82.88,6935.125,Omnivore,,Polygyndry,Polygyndry,19,AR,FFMM,8.9,6.1,Cercopithecoidea,Cercopithecidae,Macaca
Macaca_sinica,Papionini,73.14189261,4512.995,Frugivore,75,Polygyndry,Polygyndry,24.8,AR,FFMM,5.66,3.3,Cercopithecoidea,Cercopithecidae,Macaca
Macaca_sylvanus,Papionini,97.36450307,11173.265,Frugivore/Folivore,33,Polygyndry,Polygyndry,21.86,BOTH,FFMM,16,11,Cercopithecoidea,Cercopithecidae,Macaca
Mandrillus_leucophaeus,Papionini,185.962,16251.65,Frugivore,,Polygyndry,Polygyndry,96.5,BOTH,FFMM,20.75,9.25,Cercopithecoidea,Cercopithecidae,Mandrillus
Mandrillus_sphinx,Papionini,162.4087246,19842.53,Frugivore,92,Polygyndry,Polygyndry,95,AR,FFMM,34.4,12.8,Cercopithecoidea,Cercopithecidae,Mandrillus
Microcebus_murinus,Lemuriformes,1.720847331,63.93333333,Omnivore,51,Solitary,Spatial Polygyny,5.1,AR,solitary,0.063,0.0672,Lemuroidea,Cheirogaleidae,Microcebus
Microcebus_rufus,Lemuriformes,1.778192127,48.39,Omnivore,,Solitary,Spatial Polygyny,2.25,,,,,Lemuroidea,Lemuriformes,Microcebus
Miopithecus_talapoin,Cercopithecini,37.7,1236.953333,Omnivore,54,Polygyndry,Polygyndry,68.375,BOTH,FFMM,1.38,1.12,Cercopithecoidea,Cercopithecidae,Miopithecus
Mirza_coquereli,Lemuriformes,6.004526759,315.2333333,Omnivore,,Solitary,Spatial Polygyny,1.5,AR,solitary,0.3104,0.3125,Lemuroidea,Cheirogaleidae,Mirza
Nasalis_larvatus,Colobinae,96.21140265,13441.825,Folivore,23,Polygyndry,Harem Polygyny,9.94,AR,MFF,21.02,10.48,Cercopithecoidea,Cercopithecidae,Nasalis
Nomascus_concolor,Hominoidea,131.7,6631.735,Frugivore,,Pair,Monogamy,3.5,AR,MFF,7.77,7.62,Hominoidea,Hylobatidae,Nomascus
Nycticebus_coucang,Loridae,10.72860708,838.35,Omnivore,60,Solitary,Spatial Polygyny,1,AR,solitary,0.679,0.626,Lorisoidea,Lorisidae,Nycticebus
Nycticebus_pygmaeus,Loridae,7.533648222,413.7733333,Omnivore,,Solitary,Spatial Polygyny,,,,,,Lorisoidea,Loridae,Nycticebus
Otolemur_crassicaudatus,Galagonidae,12.20149501,1367.203333,Omnivore,27,Solitary,Spatial Polygyny,2.25,AR,solitary,1.19,1.11,Lorisoidea,Galagidae,Otolemur
Otolemur_garnettii,Galagonidae,11.23904137,1055.585,Omnivore,,Solitary,Spatial Polygyny,,AR,solitary,0.794,0.734,Lorisoidea,Galagidae,Otolemur
Pan_paniscus,Hominoidea,346.2373867,37522.475,Frugivore,,Polygyndry,Polygyndry,67.5,BOTH,FFMM,45,33.2,Hominoidea,Hominidae,Pan
Pan_troglodytes_troglodytes,Hominoidea,376.1254607,48328,Frugivore,63,Polygyndry,Polygyndry,42.70714286,,,,,Hominoidea,Hominoidea,Pan
Papio_anubis,Papionini,171.7975374,17209.52,Frugivore,13.6,Polygyndry,Polygyndry,47.04516129,BOTH,FFMM,21.1,12.2,Cercopithecoidea,Cercopithecidae,Papio
Papio_cynocephalus,Papionini,169.4079477,14290.71667,Frugivore,62,Polygyndry,Polygyndry,48.205,T,FFMM,21.8,12.3,Cercopithecoidea,Cercopithecidae,Papio
Papio_hamadryas,Papionini,154.4376,12002.36,Frugivore/Folivore,88,Polygyndry,Harem Polygyny,41.125,T,MFF,16.9,9.9,Cercopithecoidea,Cercopithecidae,Papio
Papio_papio,Papionini,165.3,17811.025,Frugivore,,Polygyndry,Harem Polygyny,136.6666667,T,FFMM,23,12,Cercopithecoidea,Cercopithecidae,Papio
Papio_ursinus,Papionini,195.4334722,20014.72,Frugivore/Folivore,87,Polygyndry,Polygyndry,41.1,T,FFMM,29.8,14.8,Cercopithecoidea,Cercopithecidae,Papio
Perodicticus_potto,Loridae,12.84560415,1124.492222,Omnivore,65,Solitary,Spatial Polygyny,1.25,AR,solitary,0.83,0.836,Lorisoidea,Lorisidae,Perodicticus
Pithecia_pithecia,Pitheciidae,33.35197723,1573.595,Frugivore,31.4,Polygyndry,Polygyndry,2.65,AR,MF,1.94,1.58,Ceboidea,Pitheciidae,Pithecia
Pongo_abelii,Hominoidea,409.5198448,48223.06,Frugivore,,Solitary,Spatial Polygyny,2,,,,,Hominoidea,Hominoidea,Pongo
Pongo_pygmaeus,Hominoidea,382.4565085,55279.145,Frugivore,64,Solitary,Spatial Polygyny,1.6,AR,solitary,78.5,35.8,Hominoidea,Pongidae,Pongo
Presbytis_comata,Colobinae,61.124,6460,Folivore,,Polygyny,Harem Polygyny,7,AR,MF,6.68,6.71,Cercopithecoidea,Cercopithecidae,Presbytis
Presbytis_melalophos,Colobinae,66.90504329,5326.373333,Folivore,24,Polygyndry,Harem Polygyny,12.76666667,AR,MFF,6.59,6.47,Cercopithecoidea,Cercopithecidae,Presbytis
Propithecus_diadema,Lemuriformes,41.2320968,7500,Folivore,20,Polygyndry,Polygyndry,5.55,,,,,Lemuroidea,Lemuriformes,Propithecus
Propithecus_verreauxi,Lemuriformes,27.04945139,3389.42,Folivore,41,Polygyndry,Polygyndry,5.92,AR,FFMM,2.885,2.87,Lemuroidea,Indriidae,Propithecus
Pygathrix_nemaeus,Colobinae,91.95635896,9250.366667,Folivore,,Polygyndry,Harem Polygyny,21.45,AR,FFMM,11,8.44,Cercopithecoidea,Cercopithecidae,Pygathrix
Saguinus_fuscicollis,Cebidae,8.147165526,406.83,Omnivore,60.4,Pair,Polyandry,5.7,,,,,Ceboidea,Cebidae,Saguinus
Saguinus_geoffroyi,Cebidae,14.12940757,495.9,Omnivore,,Pair,Monogamy,5.15,,,,,Ceboidea,Cebidae,Saguinus
Saguinus_midas,Cebidae,10.12270106,551.4533333,Omnivore,69,Pair,Polyandry,5,,,,,Ceboidea,Cebidae,Saguinus
Saguinus_mystax,Cebidae,11.52349279,541.2185714,Omnivore,,,,5.3,AR,FFMM,0.522,0.545,Ceboidea,Cebidae,Saguinus
Saguinus_oedipus,Cebidae,9.759725425,388.8466667,Omnivore,,Pair,Polyandry,6.298333333,AR,FFMM,0.418,0.404,Ceboidea,Cebidae,Saguinus
Saimiri_boliviensis,Cebidae,25.73991794,707.225,Omnivore,,,,20,,,,,Ceboidea,Cebidae,Saimiri
Saimiri_oerstedii,Cebidae,23.10847227,670,Omnivore,,Polygyndry,Polygyndry,24,,,,,Ceboidea,Cebidae,Saimiri
Saimiri_sciureus,Cebidae,24.14173107,811.49,Omnivore,28,Polygyndry,Polygyndry,37.80833333,AR,FFMM,0.92,0.723,Ceboidea,Cebidae,Saimiri
Semnopithecus_entellus,Colobinae,113.7803778,11398.76333,Folivore,24.4,Polygyndry,Harem Polygyny,24.75,T,MFF,13,9.89,Cercopithecoidea,Cercopithecidae,Semnopithecus
