Type1,VintageNew,ProductName,GradeNew,UsageInstructions
Bordeaux,,,,
2001,"Château La Lagune 2001, 3ème Cru Ludon, Médoc",B,Keep or release if needed - 2/10. Use - 3/15.,
2001,"Château La Mission Haut-Brion 2001, Cru Classé, Pessac-Leognan",A,Keep - 2/10. Keep - 11/14,
2001,"Château Latour à Pomerol 2001, Pomerol",B,Keep or release - 2/10 (1st review). Keep - 3/15.,
2001,"Château Léoville-Poyferré 2001, 2ème Cru St Julien",B,Keep - 2/10 (1st review). Keep - 3/15.,
2001,"Château Montrose 2001, 2ème Cru St Estèphe",B,Keep - 2/10 (1st review). Keep or sell - 3/15.,
2001,"Château Mouton Rothschild 2001, 1er Cru Pauillac",A,Keep - 2/10. Keep or sell - 3/15.,
2001,"Château Pichon-Longueville Baron 2001, 2me Cru Classé, Pauillac",B,Keep - 2/10 (1st review). Keep - 3/15.,
2001,"Château Pichon-Longueville Comtesse de Lalande 2001, 2ème Cru Classé, Pauillac",A,Keep - 2/10. Keep - 11/14.,
2001,"Château Pontet Canet 2001, 5ème Cru Pauillac",B,Keep - 2/10 (1st review). Keep - 3/15.,
2003,"Château Bahans Haut-Brion 2003, Pessac-Léognan, Graves",B,Keep - 2/10 (1st review). Keep - 3/15,
2003,"Château Beauséjour Duffau-Lagarosse 2003, 1er Grand Cru, St Emilion",B,Keep - 2/10. Use slowly - 3/15.,
2003,"Château d'Armailhac 2003, 5ème Cru, Pauillac",B,Keep - 2/10. Keep - 3/15.,
2003,"Château Haut Bailly 2003, Grand Cru Classé, Graves",B,Keep - 2/10. Keep - 3/15. ,
2003,"Château La Lagune 2003, 3ème Cru Classé, Ludon",B,Keep or release - 2/10 (1st review). Keep - 3/15.,
2003,"Château La Mission Haut-Brion 2003, Cru Classé, Pessac-Léognan",A,Keep - 2/10 (1st review). Keep - 3/15.,
2003,"Château Les Grands Chênes 2003, Médoc",B,Keep - 2/10. Use - 3/15.,
2003,"Château Lynch Bages 2003, 5ème Cru, Pauillac",B,Keep - 2/10 (1st review). Keep - 3/15.,
2003,"Château Plince 2003, Cru Classé, Pomerol",B,Keep or release in 2012 - 2/10. Drink - 3/15.,
2003,"Château Rausan-Ségla 2003, 2ème Cru, Margaux",B,Keep - 2/10 (1st review). Keep or use - 3/15.,
2003,"Pavillon Rouge du Château Margaux 2003, Margaux",B,Keep - 2/10 (1st review). Keep - 3/15,
2004,"Château d'Angludet 2004, Margaux",B,Keep or drink - 10/12. Keep - 3/15.,
2004,"Château Gazin 2004, Pomerol",B,Keep - 10/12. Keep or use - 3/15.,
2004,"Château Grand Puy Lacoste 2004, 5ème Cru Classé, Pauillac",B,Keep and check - bottle variation - 10/12. Keep - 3/15.,
2004,"Château Gruaud-Larose 2004, 2ème Cru Classé, St Julien",B,Keep - 10/12. Keep - 3/15.,
2004,"Château La Conseillante 2004, Pomerol",A,Keep - 10/12. Keep - 3/15.,
