Type1,VintageNew,ProductName,GradeNew,UsageInstructions
Bordeaux,,,,
2013,Camel Valley Pinot Noir Rosé Brut 2013,C,,
2013,Ridgeview Merret Bloomsbury 2013,B,,
Brandy (Vintage-Cognac),,,,
1878,"Grands Fins Bois 1878 Cognac, Charente, Berry Bros",A,Drink very sparingly,
1906,"Hine 1906, Cognac Grand Fine Champagne District, D Sandeman",A,Drink very sparingly,
1912,"Hennessy 1912, Fine Liqueur Cognac, Grande Champagne District, Hennessy",A,Drink sparingly,
1913,"Martell 1913, Fine Liqueur Cognac, Grande Champagne District, D Sandeman",A,Drink very springly,
1921,"Martell 1921, Cognac Grande Champagne District, J Harvey",A,Drink very sparingly,
1922,"Hine 1922, Cognac Grande Champagne District",A,Drink very sparingly,
1924,"Hine 1924, Cognac Grande Champagne District, Army & Navy",A,Drink very sparingly. Drink - 6/05. Drink - 7/14. Can be used - 5/18.,
1934,Christopher's Grande Fine Champagne Cognac 1934,A,Drink very sparingly,
1948,Frapin Grande Champagne Cognac 1948,A,Drink very sparingly. Confirmed - 2/10,
1960,"Hine Grande Champagne Cognac 1960, landed 1962, bottled 1986",A,Drink very sparingly.  Drink if required - 5/17,
Brandy (NV Cognac),,,,
N/A,"Delamain Pale and Dry Grande Champagne Cognac, Grande Champagne",B,Drink (2),
N/A,FLB Grande Champagne Cognac NV,B,,
N/A,Frapin FLB Grande Champagne Cognac,B,,
N/A,"Harvey's Fine Champagne Cognac, Grande Champagne District",B,"Drink - for ""unnamed"" occasions only (4)",
N/A,Hine Vieille fine Champagne Cognac,B,Drink (1),
1995,Somerset 10 Year Old Cider Brandy,C,Use - 10/05,
Brandy (Armagnac),,,,
N/A,"Armagnac Chateau de Laubade, Hors d'Age",B,Drink (1),
N/A,"Marquis de Puysegur VSOP Armagnac, Gers District",B,Drink (2). Use - 11/17.,
Liqueurs,,,,
N/A,Chartreuse Green,,N/A,
N/A,Cointreau,,N/A,
N/A,Creme de Menthe,,N/A,
N/A,Drambuie,,N/A,
N/A,Grand Marnier,,N/A,
Spirits and Aperitifs,,,,
N/A,Abelha Silver Cachaca,C,,
N/A,Bourbon,,N/A,
N/A,Campari,,N/A,
N/A,Dewasakura Oka Sake Junmai-Ginso,B,,
N/A,Dubonnet,,N/A,
N/A,Martini Dry,,N/A,
N/A,Pimm's No 1,,,
N/A,Vodka,,N/A,
Malt Whisky,,,,
N/A,Caol Ila 18 Year Old Single Malt,,,
N/A,Dalwhinnie 15 Year Old Single Malt,,Use - 5/08,
Whisky (Various),,,,
Scotch Whisky Blends,,N/A,,
Californian (White),,,,
2012,"Ramey Russian River Valley Chardonnay 2012, Sonoma County",B,,
