Full_Name,Student,Superfamily,Family,Common_name,Genus,Species,Scientific_name,Taxonomy_notes,Body_mass_male_mean,Body_mass_female_mean,Body_Mass_ref,Male_canine_size,Female_canine_size,Canine_Size_ref,Canine_dimorphism,Canine_Dimorphism_Ref,Social_organization,Social_Organization_ref,Detailed_mating_system,Mating_system,Social_System_ref,Mean_group_size,Social_Organization_Ref,Gestation,Life_History_Ref,Multiple_births,Combined_testis_mass,Testis_Mass_ref,Male_testis_size,Female_sexual_swelling,Female_Swelling_ref,Other_sexual_ornamentation,Copulation_calls,Copulation_Calls_ref,Same_sex_sexual_behavior,SSSB_ref,Baculum,Baubellum,Baculum_ref
Propithecus_verreauxi,Illyria,Lemuroidea,Indriidae,Verreaux's Sifaka,Propithecus,verreauxi,Propithecus_verreauxi,,2930,2980,Isler et al 2008,8.41,7.93,Luepold et al 2019,1.061,Plavcan & Ruff 2008,FFMM,Olivier et al 2024,Polygynandry,,co-evolve,5,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,148,Jones et al. 2009,0,3.24,Luepold et al 2019,,0,inferred,,,,1,Coxshall et al 2026,1,0,Pocock (1918) as reported in Spani et al 2021
Pygathrix_nemaeus,Jadyn,Cercopithecoidea,Cercopithecidae,Red Shanked Douc,Pygathrix,nemaeus,Pygathrix_nemaeus,,11000,8440,Isler et al 2008,16.06,7.62,Luepold et al 2019,2.108,Plavcan & Ruff 2008,FFMM,Olivier et al 2024,Harem Polygyny,Polygyny,co-evolve,9.3,Hill & Lee 1998,171,Jones et al. 2009,0,8.4,Luepold et al 2019,,0,inferred,,,,0,Coxshall et al 2026,1,0,Dixson (1987) as reported in Spani et al 2021
Saguinus_imperator,Valkyrie,Ceboidea,Callitrichidae,Emperor Tamarin,Saguinus,imperator,Saguinus_imperator,,474,475,Smith and Jungers 1997,5.37,5.42,inferred (S midas),0,0,MFF,Olivier et al 2024,Polyandry,,inferred,7,Kamilar 2006,145,Jones et al. 2009,1,1.83,inferred (S midas),,0,inferred,,,,0,Coxshall et al 2026,1,0,Hill (1958) as reported in Spani et al 2021
Saguinus_oedipus,Illyria,Ceboidea,Callitrichidae,Cotton-top Tamarin,Saguinus,oedipus,Saguinus_oedipus,,416.6,445.1,Isler et al 2008,5.65,5.65,Luepold et al 2019,1,Plavcan 2001,FFMM,Olivier et al 2024,Polyandry,,co-evolve,5.8,Garber et al. 2008,178,Jones et al. 2009,1,3.4,Luepold et al 2019,,0,inferred,,,,1,Coxshall et al 2026,1,0,Pohl (1928) as reported in Spani et al 2021
Saimiri_sciureus,Sabine,Ceboidea,Cebidae,Guianan Squirrel Monkey,Saimiri,sciureus,Saimiri_sciureus,,855,742.5,Isler et al 2008,7.1,5.02,Luepold et al 2019,1.411,Plavcan 2001,FFMM,Olivier et al 2024,Polygynandry,,co-evolve,38,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,161,Jones et al. 2009,0,3.2,Luepold et al 2019,,0,inferred,,,,1,Coxshall et al 2026,1,0,Hill (1958); Harrison and Lewis (1986) as reported in Spani et al 2021
Sapajus_apella,Clarissa,Ceboidea,Cebidae,Cuianan Brown Capuchin,Sapajus,apella,Sapajus_apella,,3382.8,2489.1,Isler et al 2008,14.1,9.69,Luepold et al 2019,1.455,Plavcan & Ruff 2008,FFMM,Olivier et al 2024,Polygynandry,,co-evolve,12.9,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,158,Jones et al. 2009,0,9.1,Luepold et al 2019,,0,inferred,,,,1,Coxshall et al 2026,1,1,Pohl (1928) as reported in Spani et al 2021
Semnopithecus_entellus,Nick,Cercopithecoidea,Cercopithecidae,Hanuman/Northern Plain Grey Langur,Semnopithecus,entellus,Semnopithecus_entellus,,18144,11340,Isler et al 2008,18.44,10.83,Luepold et al 2019,2.058,Plavcan & Ruff 2008,MFF,Olivier et al 2024,Harem Polygyny,Polygyny,co-evolve,30.2,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,192,Jones et al. 2009,0,11.1,Luepold et al 2019,,0,inferred,,,,1,Coxshall et al 2026,1,0,David and Ramaswami (1971) as reported in Spani et al 2021
Symphalangus_syndactylus,Jadyn,Hominoidea,Hylobatidae,Siamang,Symphalangus,syndactylus,Symphalangus_syndactylus,,11880,10710,Isler et al 2008,21.45,18.04,Luepold et al 2019,1.189,Plavcan & Ruff 2008,MF,Olivier et al 2024,Monogamy,,co-evolve,4,van Schaik et al. 1999; Nunn & van Schaik 2000,231,Jones et al. 2009,0,11.95,Luepold et al 2019,,0,Nunn 1999,,,,1,Coxshall et al 2026,1,1,Gerhardt (1909) as reported in Spani et al 2021
Tarsius_(Cephalopachus)_bancanus,Sabine,Tarsioidea,Tarsiidae,Western Tarsier,Tarsius,bancanus,Cephalopachus_bancanus,,128,123,Isler et al 2008,,,,,,Solitary,Olivier et al 2024,Spatial Polygyny,Polygyny,co-evolve,,,178,Jones et al. 2009,0,,,,0,inferred,,,,0,Coxshall et al 2026,0,0,Pohl (1910);  as reported in Spani et al 2021
Tarsius_(Carlito)_syrichta,Eric,Tarsioidea,Tarsiidae,Philippine Tarsier,Tarsius,syrichta,Carlito_syrichta,,134,117,Isler et al 2008,,,,,,Solitary,Olivier et al 2024,Spatial Polygyny,Polygyny,co-evolve,,,179,Jones et al. 2009,0,,,,0,inferred,,,,0,Coxshall et al 2026,0,,Hill (1955) as reported in Spani et al 2021
Theropithecus_gelada,German,Cercopithecoidea,Cercopithecidae,Gelada Baboon,Theropithecus,gelada,Theropithecus_gelada,,19000,11700,Isler et al 2008,39.62,12.27,Luepold et al 2019,3.229,Plavcan & Ruff 2008,MFF,Olivier et al 2024,Harem Polygyny,Polygyny,co-evolve,10,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,168,Jones et al. 2009,0,19.3,Luepold et al 2019,,1,Nunn 1999,,YES,Maestripieri & Roney 2005,1,Coxshall et al 2026,1,0,Hill (1974) as reported in Spani et al 2021
Trachypithecus_cristatus,Nick,Cercopithecoidea,Cercopithecidae,Silvered Leaf Monkey,Trachypithecus,cristatus,Trachypithecus_cristatus,,6728.1,6059.7,Isler et al 2008,18.57,10.94,Luepold et al 2019,1.697,Plavcan & Ruff 2008,FFMM,Olivier et al 2024,Harem Polygyny,Polygyny,co-evolve,32.4,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,,Jones et al. 2009,0,6.3,Luepold et al 2019,,0,inferred,,,,0,Coxshall et al 2026,1,,inferred (T auratus)
Trachypithecus_phayrei,German,Cercopithecoidea,Cercopithecidae,Phayre's Leaf Monkey,Trachypithecus,phayrei,Trachypithecus_phayrei,,7767.8,7182,Isler et al 2008,15.44,8.51,inferred (T obscurus),,,MFF,Olivier et al 2024,Harem Polygyny,Polygyny,co-evolve,,,167,Jones et al. 2009,0,5.82,inferred (T obscurus),,0,inferred,,,,0,Coxshall et al 2026,1,,inferred (T obscurus)
Varecia_variegata,Nick,Lemuroidea,Lemuridae,Black-and-white Ruffed Lemur,Varecia,variegata,Varecia_variegata,,3630,3520,Isler et al 2008,,,,1.038,Plavcan & Ruff 2008,FFMM,Olivier et al 2024,Monogamy,,inferred,2.8,van Schaik et al. 1999; Kappeler and Pereira 2003,99,Jones et al. 2009,1,,,,0,inferred,,,,0,Coxshall et al 2026,1,1,Pohl (1910) as reported in Spani et al 2021
